_id,idx,series,kode_wilayah,wilayah,tahun,triwulan,bulan,tanggal,nilai,target
560,559,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108040,SEULIMEUM,2006,,,,,
561,560,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108041,KOTA JANTHO,2006,,,,,
562,561,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108042,LEMBAH SEULAWAH,2006,,,,,
563,562,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108050,MESJID RAYA,2006,,,,,
564,563,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108060,DARUSSALAM,2006,,,,6,
565,564,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108061,BAITUSSALAM,2006,,,,,
566,565,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108070,KUTA BARO,2006,,,,,
567,566,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108080,MONTASIK,2006,,,,,
568,567,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108090,INGIN JAYA,2006,,,,8,
569,568,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108091,KRUENG BARONA JAYA,2006,,,,,
570,569,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108100,SUKA MAKMUR,2006,,,,,
571,570,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108101,KUTA MALAKA,2006,,,,,
572,571,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108102,SIMPANG TIGA,2006,,,,,
573,572,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108110,DARUL IMARAH,2006,,,,,
574,573,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108111,DARUL KAMAL,2006,,,,,
575,574,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108120,PEUKAN BADA,2006,,,,9,
576,575,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108130,PULO ACEH,2006,,,,,
577,576,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1109010,GEUMPANG,2006,,,,,
578,577,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1109011,MANE,2006,,,,,
579,578,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1109070,GLUMPANG TIGA,2006,,,,,
580,579,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1109071,GLUMPANG BARO,2006,,,,,
581,580,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1109080,MUTIARA,2006,,,,,
582,581,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1109081,MUTIARA TIMUR,2006,,,,,
583,582,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1109090,TIRO/TRUSEB,2006,,,,3,
584,583,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1109100,TANGSE,2006,,,,,
585,584,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1109120,SAKTI,2006,,,,4,
586,585,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1109130,MILA,2006,,,,,
587,586,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1109140,PADANG TIJI,2006,,,,,
588,587,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1109150,DELIMA,2006,,,,,
589,588,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1109151,GRONG GRONG,2006,,,,1,
590,589,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1109160,INDRAJAYA,2006,,,,,
591,590,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1109170,PEUKAN BARO,2006,,,,,
592,591,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1109180,KEMBANG TANJONG,2006,,,,9,
593,592,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1109190,SIMPANG TIGA,2006,,,,,
594,593,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1109200,KOTA SIGLI,2006,,,,,
595,594,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1109210,PIDIE,2006,,,,,
596,595,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1109220,BATEE,2006,,,,,
597,596,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1109230,MUARA TIGA,2006,,,,2,
598,597,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1110010,SAMALANGA,2006,,,,,
599,598,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1110011,SIMPANG MAMPLAM,2006,,,,,
600,599,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1110020,PANDRAH,2006,,,,,
601,600,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1110030,JEUNIEB,2006,,,,6,
602,601,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1110031,PEULIMBANG,2006,,,,6,
603,602,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1110040,PEUDADA,2006,,,,,
604,603,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1110050,JULI,2006,,,,,
605,604,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1110060,JEUMPA,2006,,,,,
606,605,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1110061,KOTA JUANG,2006,,,,4,
607,606,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1110062,KUALA,2006,,,,,
608,607,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1110070,JANGKA,2006,,,,,
609,608,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1110080,PEUSANGAN,2006,,,,,
610,609,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1110081,PEUSANGAN SELATAN,2006,,,,,
611,610,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1110082,PEUSANGAN SIBLAH KRUENG,2006,,,,,
612,611,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1110090,MAKMUR,2006,,,,,
613,612,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1110100,GANDA PURA,2006,,,,,
